Source,Category ID,Name,OVOKO ID,OVOKO Name,Level
BaseLinker,1730980,Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Chłodnice/Chłodnice wody,231,Chłodnica,3
BaseLinker,1730981,Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Przewody układów chłodzenia/Przewody chłodnic oleju,197,Układ klimatyzacji / Wentylacji / Chłodzenia silnika / Ogrzewanie postojowe,1
BaseLinker,1730982,Motoryzacja/Części samochodowe/Układ paliwowy/Przewody paliwa,1298,Przewód paliwowy,3
BaseLinker,1730983,Motoryzacja/Części samochodowe/Układ hamulcowy/Hamulce postojowe/Dźwignie hamulca ręcznego,89,Inne części hamulca ręcznego / postojowego,3
BaseLinker,1730984,Motoryzacja/Części samochodowe/Układ wydechowy/Wieszaki,1168,Układ wydechowy i inne elementy,1
BaseLinker,1730985,Motoryzacja/Części samochodowe/Silniki i osprzęt/Blok silnika/Wały korbowe,262,Wał korbowy,3
BaseLinker,1730986,Motoryzacja/Części samochodowe/Układ kierowniczy/Pozostałe,416,Układ napędowy,1
BaseLinker,1730987,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Pozostałe,806,Wyposażenie wnętrza samochodu,1
BaseLinker,1730988,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Gałki i mieszki/Gałki,806,Wyposażenie wnętrza samochodu,1
BaseLinker,1730989,Motoryzacja/Części samochodowe/Układ paliwowy/Pozostałe,281,Układ paliwowy,1
BaseLinker,1730990,Motoryzacja/Części samochodowe/Układ zawieszenia/Zawieszenie hydrauliczne i pneumatyczne/Sterowniki,1052,Przekaźniki i sterowniki,2
BaseLinker,1730991,Motoryzacja/Części samochodowe/Układ klimatyzacji/Czujniki,199,Inne elementy układu klimatyzacji A/C,3
BaseLinker,1730992,Motoryzacja/Części samochodowe/Oświetlenie/Lampy tylne i elementy/Światła stop,150,Lampy tylne i inne elementy,2
BaseLinker,1730993,Motoryzacja/Części samochodowe/Układ zawieszenia/Pozostałe,416,Układ napędowy,1
BaseLinker,1730995,Motoryzacja/Części samochodowe/Silniki i osprzęt/Osłony silnika/Górne,273,Osłona górna silnika,3
BaseLinker,1730996,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Układ elektryczny silnika/Cewki zapłonowe",1300,Cewka zapłonowa wysokiego napięcia,3
BaseLinker,1730997,Motoryzacja/Części samochodowe/Układ hamulcowy/Układ ABS i ESP/Sterowniki ABS,41,Układ ABS i ESP,2
BaseLinker,1730998,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Wyposażenie elektryczne/Silniczki szyberdachu",1104,Silniczek szyberdachu,3
BaseLinker,1730999,Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Chłodnice/Chłodnice powietrza (intercoolery),235,Chłodnica powietrza doładowującego / Intercooler,3
BaseLinker,1731000,Motoryzacja/Części samochodowe/Układ klimatyzacji/Chłodnice klimatyzacji (skraplacze),205,Skraplacz / Chłodnica klimatyzacji,3
BaseLinker,1731001,Motoryzacja/Części samochodowe/Części karoserii/Maski/Cięgna,523,Linka zamka pokrywy przedniej / maski silnika,3
BaseLinker,1731002,Motoryzacja/Części samochodowe/Oświetlenie/Lampy przednie i elementy/Pozostałe,134,Oświetlenie,1
BaseLinker,1731003,Motoryzacja/Opony i felgi/Osprzęt i akcesoria/Śruby,748,Śruby / Nakrętki do felg,2
BaseLinker,1731004,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Czujniki/Czujniki przyspieszenia",349,Czujnik przyspieszenia,3
BaseLinker,1731005,Motoryzacja/Części samochodowe/Silniki i osprzęt/Smarowanie silnika/Pompy oleju,1352,Pompa olejowa,3
BaseLinker,1731006,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Sprzęt audio fabryczny/Zmieniarki CD,1338,Zmieniarka płyt CD/DVD,3
BaseLinker,1731007,Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Chłodnice/Chłodnice oleju,246,Chłodnica oleju,3
BaseLinker,1731008,Motoryzacja/Części samochodowe/Wycieraczki i spryskiwacze/Czujniki deszczu,1381,Czujnik deszczu,3
BaseLinker,1731009,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Czujniki/Czujniki prędkości",1386,Czujnik prędkości obrotowej,3
BaseLinker,1731010,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Wyposażenie elektryczne/Gniazda zapalniczki",852,Gniazdo zapalniczki przedniej tunelu środkowego,3
BaseLinker,1731011,Motoryzacja/Części samochodowe/Części karoserii/Maski/Zawiasy,520,Zawiasy pokrywy / maski silnika,3
BaseLinker,1731012,Motoryzacja/Części samochodowe/Układ wydechowy/Kolektory wydechowe,1329,Kolektor wydechowy,3
BaseLinker,1731013,Motoryzacja/Części samochodowe/Silniki i osprzęt/Zawory podciśnienia,1655,Zawór podciśnienia,3
BaseLinker,1731014,Motoryzacja/Części samochodowe/Układ zawieszenia/Zawieszenie hydrauliczne i pneumatyczne/Poduszki i miechy,1575,Zawieszenie pneumatyczne,2
BaseLinker,1731015,Motoryzacja/Części samochodowe/Układ napędowy/Skrzynie biegów/Smarowanie,416,Układ napędowy,1
BaseLinker,1731016,Motoryzacja/Części samochodowe/Układ paliwowy/Listwy wtryskowe,315,Listwa wtryskowa,3
BaseLinker,1731017,Motoryzacja/Części samochodowe/Układ napędowy/Dyferencjały/Kompletne dyferencjały,458,Mechanizm różnicowy przedni / Dyferencjał,3
BaseLinker,1731019,Motoryzacja/Części samochodowe/Części karoserii/Klapy bagażnika/Klamki,1483,Rączka / Uchwyt klapy tylnej / bagażnika,3
BaseLinker,1731020,Motoryzacja/Wyposażenie i akcesoria samochodowe/Holowanie/Kompletne haki holownicze (belka + kula),2066,Hak,3
BaseLinker,1731021,Motoryzacja/Części samochodowe/Silniki i osprzęt/Rozrząd/Wałki rozrządu,268,Wałek rozrządu,3
BaseLinker,1731022,Motoryzacja/Części samochodowe/Układ napędowy/Sprzęgła/Koła dwumasowe i zamachowe,1221,Koło dwumasowe,3
BaseLinker,1731023,Motoryzacja/Części samochodowe/Wycieraczki i spryskiwacze/Ramiona wycieraczek,106,Ramię wycieraczki szyby przedniej / czołowej,3
BaseLinker,1731024,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Zapalniczki samochodowe,822,Zapalniczka deski rozdzielczej,3
BaseLinker,1731026,Motoryzacja/Części samochodowe/Silniki i osprzęt/Blok silnika/Bloki,263,Blok silnika,3
BaseLinker,1731027,"Motoryzacja/Części samochodowe/Układ napędowy/Półosie, przeguby, wały/Podpory wału",416,Układ napędowy,1
BaseLinker,1731028,Motoryzacja/Wyposażenie i akcesoria samochodowe/Literatura motoryzacyjna/Samochody/Książki serwisowe,1608,Książka serwisowa,3
BaseLinker,1731029,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Sprzęt audio fabryczny/Pozostałe,1276,Sprzęt audio i GPS,2
BaseLinker,1731030,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Podłokietniki,851,Podłokietnik tunelu środkowego,3
BaseLinker,1731031,Motoryzacja/Części samochodowe/Silniki i osprzęt/Głowice cylindrów/Pokrywy zaworów,265,Pokrywa zaworów,3
BaseLinker,1731032,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Układ elektryczny silnika/Pozostałe",1005,Inne wyposażenie elektryczne,3
BaseLinker,1731033,Motoryzacja/Części samochodowe/Silniki i osprzęt/Blok silnika/Tłoki,267,Tłok,3
BaseLinker,1731034,Motoryzacja/Części samochodowe/Silniki i osprzęt/Smarowanie silnika/Bagnety,272,Bagnet poziomu oleju,3
BaseLinker,1731035,Motoryzacja/Części samochodowe/Układ hamulcowy/Pompy hamulcowe,1,Układ hamulcowy,1
